SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 00:56:24
SISTEMA -> CPU: 98.9% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 00:56:44
SISTEMA -> CPU: 98.6% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 00:57:06
SISTEMA -> CPU: 98.5% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 00:57:26
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:57:47
SISTEMA -> CPU: 98.5% | RAM: 68.1% | Temp: 27.8°C | Tiempo: 00:58:07
SISTEMA -> CPU: 98.5% | RAM: 67.9% | Temp: 27.8°C | Tiempo: 00:58:27
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:58:48
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 00:59:08
SISTEMA -> CPU: 98.6% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 00:59:28
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:59:49
SISTEMA -> CPU: 98.6% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 01:00:10
SISTEMA -> CPU: 99.1% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:00:45
SISTEMA -> CPU: 98.5% | RAM: 68.1% | Temp: 27.8°C | Tiempo: 01:01:05
SISTEMA -> CPU: 99.0% | RAM: 68.0% | Temp: 27.8°C | Tiempo: 01:01:26
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 01:01:47
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:02:07
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 01:02:28
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 01:02:48
SISTEMA -> CPU: 98.5% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 01:03:09
SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 01:03:29
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 01:03:50
SISTEMA -> CPU: 98.5% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 01:04:10
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 01:04:31
SISTEMA -> CPU: 98.5% | RAM: 68.1% | Temp: 27.8°C | Tiempo: 01:04:51
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 01:05:11
SISTEMA -> CPU: 98.6% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 01:05:32
SISTEMA -> CPU: 99.0% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 01:05:52
SISTEMA -> CPU: 98.5% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 01:06:13
SISTEMA -> CPU: 98.5% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 01:06:33
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:06:54
SISTEMA -> CPU: 98.5% | RAM: 68.1% | Temp: 27.8°C | Tiempo: 01:07:14
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 01:07:34
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:07:54
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 01:08:15
SISTEMA -> CPU: 98.6% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:08:35
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:08:55
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 01:09:15
SISTEMA -> CPU: 98.5% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 01:09:35
SISTEMA -> CPU: 98.6% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 01:09:55
SISTEMA -> CPU: 98.9% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 01:10:16
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 01:10:36
SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 01:10:56
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:11:16
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 01:11:38
SISTEMA -> CPU: 98.5% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 01:11:57
SISTEMA -> CPU: 98.5% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 01:12:18
SISTEMA -> CPU: 98.6% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 01:12:39
SISTEMA -> CPU: 98.5% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 01:12:59
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 01:13:19
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 01:13:39
SISTEMA -> CPU: 98.5% | RAM: 69.6% | Temp: 27.8°C | Tiempo: 01:14:00
SISTEMA -> CPU: 98.5% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 01:14:20
SISTEMA -> CPU: 98.9% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 01:14:41
SISTEMA -> CPU: 98.5% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 01:15:01
SISTEMA -> CPU: 98.5% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 01:15:22
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 01:15:42
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 01:16:03
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 01:16:23
SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 01:16:43
SISTEMA -> CPU: 98.5% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 01:17:03
SISTEMA -> CPU: 98.5% | RAM: 68.1% | Temp: 27.8°C | Tiempo: 01:17:23
